"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
84,HHGCW,0.003,-0.0163,-84.456%,177859,top_losers,2024-09-13 08:01:03.226
85,FULC,3.44,-5.41,-61.1299%,34181971,top_losers,2024-09-13 08:01:03.255
86,EHI^,0.0216,-0.0334,-60.7273%,1355365,top_losers,2024-09-13 08:01:03.282
87,MODV,12.76,-18.43,-59.0895%,3574933,top_losers,2024-09-13 08:01:03.314
88,ONCT,1.7,-2.35,-58.0247%,618253,top_losers,2024-09-13 08:01:03.348
89,CNEY,0.69,-0.7,-50.3597%,16696948,top_losers,2024-09-13 08:01:03.378
90,STRM,0.2468,-0.2342,-48.6902%,1794212,top_losers,2024-09-13 08:01:03.411
91,AEHL,0.79,-0.72,-47.6821%,1249842,top_losers,2024-09-13 08:01:03.450
92,BLEUR,0.0252,-0.0224,-47.0588%,5089,top_losers,2024-09-13 08:01:03.488
93,BTBDW,0.0507,-0.0438,-46.3492%,500,top_losers,2024-09-13 08:01:03.526
94,SYRA,0.43,-0.3701,-46.2567%,4009946,top_losers,2024-09-13 08:01:03.554
95,UPC,1.67,-1.37,-45.0658%,20749602,top_losers,2024-09-13 08:01:03.590
96,HHGCR,0.062,-0.046,-42.5926%,6269,top_losers,2024-09-13 08:01:03.625
97,TLGYW,0.0301,-0.0219,-42.1154%,3506,top_losers,2024-09-13 08:01:03.652
98,SABSW,0.025,-0.0181,-41.9954%,22836,top_losers,2024-09-13 08:01:03.687
99,LSBPW,0.0464,-0.0316,-40.5128%,107324,top_losers,2024-09-13 08:01:03.720
100,BLACW,0.02,-0.0111,-35.6913%,200000,top_losers,2024-09-13 08:01:03.752
101,NVDA,119.14,2.24,"1.9162%",361961828,most_actively_traded,2024-09-13 08:01:03.788
102,SQQQ,8.28,-0.25,-2.9308%,179346138,most_actively_traded,2024-09-13 08:01:03.824
103,PEGY,0.1847,0.0105,"6.0276%",113049056,most_actively_traded,2024-09-13 08:01:03.860
104,EGIO,2.14,1.1615,"118.7021%",105467982,most_actively_traded,2024-09-13 08:01:03.889
105,SOXL,31.82,-0.4,-1.2415%,98328641,most_actively_traded,2024-09-13 08:01:03.925
106,SMFL,1.21,0.36,"42.3529%",89242307,most_actively_traded,2024-09-13 08:01:03.961
107,MULN,0.167,-0.008,-4.5714%,75412886,most_actively_traded,2024-09-13 08:01:03.989
108,TSLA,229.81,1.68,"0.7364%",71725694,most_actively_traded,2024-09-13 08:01:04.020
109,NIO,5.28,-0.32,-5.7143%,70730955,most_actively_traded,2024-09-13 08:01:04.047
110,WBD,7.66,0.72,"10.3746%",60698899,most_actively_traded,2024-09-13 08:01:04.081
111,SOXS,24.52,0.36,"1.4901%",57412785,most_actively_traded,2024-09-13 08:01:04.117
112,TSLL,10.89,0.16,"1.4911%",55594449,most_actively_traded,2024-09-13 08:01:04.152
113,TQQQ,66.48,1.91,"2.958%",54439945,most_actively_traded,2024-09-13 08:01:04.182
114,PLTR,34.93,0.08,"0.2296%",54049013,most_actively_traded,2024-09-13 08:01:04.211
115,SPXS,7.29,-0.18,-2.4096%,51973666,most_actively_traded,2024-09-13 08:01:04.243
116,INTC,19.36,-0.28,-1.4257%,50827823,most_actively_traded,2024-09-13 08:01:04.271
117,SPY,559.03,4.61,"0.8315%",50635101,most_actively_traded,2024-09-13 08:01:04.301
118,NVD,1.81,-0.07,-3.7234%,49184359,most_actively_traded,2024-09-13 08:01:04.339
119,GV,4.42,2.39,"117.734%",45597392,most_actively_traded,2024-09-13 08:01:04.371
120,ABEV,2.305,-0.025,-1.073%,45256140,most_actively_traded,2024-09-13 08:01:04.416
